Park Type,Wind farm,Turbine Platform,Turbine,Component Failed,Outage cause,Material number,Failed Component Serial number,New Component Serial number,Failure Mode,Component Commisioning Date,Turbine Stopp Date,Jackup Call-off Date,Component Exchange Date,Turbine start date,Estimated Lost Production,Estimated Lost Revenue,Work Order,Main Component Cost,Jackup Cost,Other Project Cost,Jackup vessel,Alarm code 1,Alarm code 2,Alarm code 3,Alarm code 4,Alarm code 5,Alarm code 6,Alarm code 7,Alarm code 8,Alarm code 9,Alarm code 10,Alarm code 11,Alarm code 12,Alarm code 13,Alarm code 14,Alarm code 15,Alarm code 16,Alarm code 17,Alarm code 18,Alarm code 19,Alarm code 20
Onshore,Jänschwalde,V90-2MW,GJW001,Gearbox,,,,"Winergy, Typ PEAB4435, Nr. 4805340-0040-1",,2005-02-08 00:00:00,,,2005-06-05,,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Onshore,Jänschwalde,V90-2MW,GJW001,Transformer,,,,"SGB, Typ DTTHIL 1600/20, Nr. 217486",,2005-02-08 00:00:00,,,2006-04-27,,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Onshore,Jänschwalde,V90-2MW,GJW002,Transformer,,,,"SGB, Typ DTTHIL 1600/20, Nr. 216168",,2005-12-31 00:00:00,,,2006-05-10,,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ006,Generator,,,601097 TD 03,601259 UH 11,Serial Defect,,,,2008-02-09,,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ007,Generator,,,600970 TC 14,601259 UE 10,Serial Defect,,,,2008-02-10,,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ022,Generator,,,600970 TB 12,601259 UB 07,Serial Defect,,,,2008-02-18,,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ033,Gearbox,,,EF901E-003L/LM0001,EF901E-003L/LM0001,Serial Defect,,2007-11-23,,2008-02-24,,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ025,Gearbox,,,EF901E-003L/LM0002,EF901E-003L/LM0002,Serial Defect,,2007-11-17,,2008-02-25,,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ010,Generator,,,600972 TA 02,601097 TD 03,Serial Defect,,,,2008-04-10,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ028,Generator,,,601097TC01,600970 TB 12,Serial Defect,,,,2008-04-23,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
